alignment_scope,model,status,status_counts.success,successful_predictions,accuracy,macro_f1,misaligned_sensitive_precision,misaligned_sensitive_recall,misaligned_sensitive_f1,leakage_rate,false_block_rate,confusion.aligned_sensitive.aligned_sensitive,confusion.aligned_sensitive.misaligned_sensitive,confusion.aligned_sensitive.non_sensitive,confusion.misaligned_sensitive.aligned_sensitive,confusion.misaligned_sensitive.misaligned_sensitive,confusion.misaligned_sensitive.non_sensitive
coarse_policy_alignment,pii_plus_reranker,scored,80,80,0.7,0.7172050098879367,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.3157894736842105,0.23809523809523808,30,10,2,10,26,2
fine_grained_semantic_alignment,pii_plus_reranker,scored,47,47,0.6808510638297872,0.6280597014925373,0.896551724137931,0.6842105263157895,0.7761194029850746,0.3157894736842105,0.3333333333333333,6,3,0,10,26,2
